track_genre,popularity
alt-rock,33.8968968968969
alternative,22.218673218673217
black-metal,22.431726907630523
death-metal,32.502774694783575
emo,48.5
funk,34.30809399477807
garage,40.61154273029967
goth,29.016538037486217
grindcore,14.521827411167513
groove,35.52358490566038
grunge,50.58700696055684
hard-rock,45.744710860366716
heavy-metal,26.18355065195587
industrial,32.467455621301774
j-rock,36.89782608695652
metal,56.422413793103445
metalcore,44.70891364902507
psych-rock,39.588976377952754
punk,41.94222222222222
punk-rock,39.46466165413534
rock,18.178362573099417
rock-n-roll,36.69892473118279
rockabilly,27.992248062015506
